mean_absolute_error,mean_square_error,root_mean_square_error,indexes_of_errors,percent_correct
11.5625,879.125,29.65004215848605,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20]",65.625
3.28125,65.15625,8.07194214548147,"[1, 3, 5, 7, 9, 10, 11, 13, 15, 16]",68.75
6.34375,266.40625,16.321956071500743,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 20]",65.625
3.75,70.625,8.403868156985805,"[0, 1, 2, 3, 5, 7, 9, 11, 13, 14, 15]",65.625
3.25,59.0625,7.685213074469699,"[1, 3, 5, 7, 9, 11, 13, 14]",75.0
4.9375,184.625,13.587678241701193,"[1, 3, 5, 7, 9, 11, 13, 15, 16, 17]",68.75
3.59375,63.40625,7.962804154316493,"[1, 2, 3, 5, 7, 9, 11, 13, 15, 16]",68.75
2.25,29.8125,5.460082416960389,"[1, 3, 5, 7, 9, 11, 13, 15, 16]",71.875
2.375,30.0625,5.482928049865327,"[1, 3, 5, 7, 9, 11, 13, 14, 15, 16, 17]",65.625
1.6875,20.125,4.4860896112315904,"[1, 2, 3, 5, 7, 9, 10, 11]",75.0
